Point	Latitude	Longitude	Category	PCH_time	Displacement
Point_100	117.136458	39.4425	C1	2022.5	None
Point_107	117.541875	39.4425	C4	9999	None
Point_109	117.657708	39.4425	C4	9999	None
Point_121	118.352708	39.4425	C3	2025.5	None
Point_122	118.410625	39.4425	C4	9999	None
Point_123	116.441458	39.3975	C3	2025.5	None
Point_124	116.499375	39.3975	C4	9999	None
Point_125	116.557292	39.3975	C4	9999	None
Point_129	116.788958	39.3975	C4	9999	None
Point_126	116.615208	39.3975	C4	9999	None
Point_130	116.846875	39.3975	C4	9999	None
Point_127	116.673125	39.3975	C4	9999	None
Point_128	116.731042	39.3975	C4	9999	None
Point_131	116.904792	39.3975	C4	9999	None
Point_132	116.962708	39.3975	C3	2025.5	None
Point_133	117.020625	39.3975	C3	2025.5	None
Point_135	117.136458	39.3975	C3	2025.5	None
Point_13	118.352708	39.6675	C4	9999	None
Point_141	117.483958	39.3975	C3	2025.5	None
Point_143	117.599792	39.3975	C4	9999	None
Point_144	117.657708	39.3975	C3	2025.5	None
Point_146	117.773542	39.3975	C3	2025.5	None
Point_152	118.121042	39.3975	C4	9999	None
Point_155	118.294792	39.3975	C1	2022.5	None
Point_156	118.352708	39.3975	C3	2025.5	None
Point_158	118.468542	39.3975	C4	9999	None
Point_159	116.499375	39.3525	C4	9999	None
Point_15	117.599792	39.6225	C4	9999	None
Point_160	116.557292	39.3525	C4	9999	None
Point_161	116.615208	39.3525	C4	9999	None
Point_162	116.673125	39.3525	C4	9999	None
Point_163	116.731042	39.3525	C4	9999	None
Point_164	116.788958	39.3525	C4	9999	None
Point_165	116.846875	39.3525	C4	9999	None
Point_166	116.904792	39.3525	C4	9999	None
Point_167	116.962708	39.3525	C3	2025.5	None
Point_179	117.657708	39.3525	C1	2022.5	None
Point_176	117.483958	39.3525	C3	2025.5	None
Point_177	117.541875	39.3525	C4	9999	None
Point_181	117.773542	39.3525	C3	2025.5	None
Point_178	117.599792	39.3525	C4	9999	None
Point_17	117.715625	39.6225	C3	2025.5	None
Point_180	117.715625	39.3525	C3	2025.5	None
Point_182	117.831458	39.3525	C1	2022.5	None
Point_184	117.947292	39.3525	C1	2022.5	None
Point_186	118.063125	39.3525	C4	9999	None
Point_187	118.121042	39.3525	C4	9999	None
Point_188	118.178958	39.3525	C1	2022.5	None
Point_189	118.236875	39.3525	C3	2025.5	None
Point_191	118.352708	39.3525	C4	9999	None
Point_192	118.410625	39.3525	C4	9999	None
Point_193	118.468542	39.3525	C4	9999	None
Point_194	116.499375	39.3075	C4	9999	None
Point_195	116.557292	39.3075	C4	9999	None
Point_196	116.615208	39.3075	C4	9999	None
Point_197	116.673125	39.3075	C4	9999	None
Point_198	116.731042	39.3075	C4	9999	None
Point_199	116.788958	39.3075	C4	9999	None
Point_19	117.831458	39.6225	C1	2022.5	None
Point_200	116.846875	39.3075	C4	9999	None
Point_201	116.904792	39.3075	C4	9999	None
Point_202	116.962708	39.3075	C4	9999	None
Point_203	117.020625	39.3075	C3	2025.5	None
Point_211	117.483958	39.3075	C4	9999	None
Point_20	117.889375	39.6225	C1	2022.5	None
Point_210	117.426042	39.3075	C3	2025.5	None
Point_212	117.541875	39.3075	C4	9999	None
Point_214	117.657708	39.3075	C1	2022.5	None
Point_218	117.889375	39.3075	C3	2025.5	None
Point_219	117.947292	39.3075	C4	9999	None
Point_220	118.005208	39.3075	C4	9999	None
Point_221	118.063125	39.3075	C4	9999	None
Point_222	118.121042	39.3075	C4	9999	None
Point_226	118.352708	39.3075	C4	9999	None
Point_227	118.410625	39.3075	C3	2025.5	None
Point_228	118.468542	39.3075	C4	9999	None
Point_229	116.499375	39.2625	C4	9999	None
Point_230	116.557292	39.2625	C4	9999	None
Point_231	116.615208	39.2625	C4	9999	None
Point_232	116.673125	39.2625	C4	9999	None
Point_233	116.731042	39.2625	C4	9999	None
Point_234	116.788958	39.2625	C4	9999	None
Point_238	117.020625	39.2625	C1	2022.5	None
Point_235	116.846875	39.2625	C4	9999	None
Point_236	116.904792	39.2625	C4	9999	None
Point_237	116.962708	39.2625	C3	2025.5	None
Point_246	117.483958	39.2625	C3	2025.5	None
Point_247	117.541875	39.2625	C3	2025.5	None
Point_248	117.599792	39.2625	C1	2022.5	None
Point_249	117.657708	39.2625	C4	9999	None
Point_250	117.715625	39.2625	C3	2025.5	None
Point_252	117.831458	39.2625	C3	2025.5	None
Point_253	117.889375	39.2625	C4	9999	None
Point_254	117.947292	39.2625	C4	9999	None
Point_256	118.063125	39.2625	C4	9999	None
Point_257	118.121042	39.2625	C4	9999	None
Point_259	118.236875	39.2625	C4	9999	None
Point_260	118.294792	39.2625	C4	9999	None
Point_261	118.352708	39.2625	C4	9999	None
Point_262	118.410625	39.2625	C4	9999	None
Point_263	118.468542	39.2625	C4	9999	None
Point_264	116.499375	39.2175	C4	9999	None
Point_268	116.731042	39.2175	C4	9999	None
Point_265	116.557292	39.2175	C4	9999	None
Point_266	116.615208	39.2175	C4	9999	None
Point_267	116.673125	39.2175	C4	9999	None
Point_269	116.788958	39.2175	C4	9999	None
Point_270	116.846875	39.2175	C4	9999	None
Point_271	116.904792	39.2175	C4	9999	None
Point_272	116.962708	39.2175	C4	9999	None
Point_273	117.020625	39.2175	C4	9999	None
Point_274	117.078542	39.2175	C4	9999	None
Point_275	117.136458	39.2175	C3	2025.5	None
Point_281	117.483958	39.2175	C4	9999	None
Point_285	117.715625	39.2175	C4	9999	None
Point_282	117.541875	39.2175	C4	9999	None
Point_283	117.599792	39.2175	C3	2025.5	None
Point_288	117.889375	39.2175	C4	9999	None
Point_284	117.657708	39.2175	C4	9999	None
Point_286	117.773542	39.2175	C3	2025.5	None
Point_287	117.831458	39.2175	C4	9999	None
Point_289	117.947292	39.2175	C4	9999	None
Point_28	118.352708	39.6225	C4	9999	None
Point_290	118.063125	39.2175	C4	9999	None
Point_291	118.121042	39.2175	C4	9999	None
Point_292	118.178958	39.2175	C4	9999	None
Point_293	118.236875	39.2175	C4	9999	None
Point_297	118.468542	39.2175	C4	9999	None
Point_294	118.294792	39.2175	C4	9999	None
Point_295	118.352708	39.2175	C4	9999	None
Point_296	118.410625	39.2175	C4	9999	None
Point_298	116.499375	39.1725	C4	9999	None
Point_299	116.557292	39.1725	C4	9999	None
Point_29	118.410625	39.6225	C4	9999	None
Point_300	116.615208	39.1725	C4	9999	None
Point_301	116.673125	39.1725	C4	9999	None
Point_302	116.731042	39.1725	C4	9999	None
Point_303	116.788958	39.1725	C4	9999	None
Point_304	116.846875	39.1725	C4	9999	None
Point_305	116.904792	39.1725	C4	9999	None
Point_306	116.962708	39.1725	C3	2025.5	None
Point_307	117.020625	39.1725	C4	9999	None
Point_308	117.078542	39.1725	C3	2025.5	None
Point_30	117.426042	39.5775	C4	9999	None
Point_311	117.252292	39.1725	C3	2025.5	None
Point_312	117.310208	39.1725	C4	9999	None
Point_313	117.368125	39.1725	C1	2022.5	None
Point_314	117.426042	39.1725	C3	2025.5	None
Point_317	117.599792	39.1725	C4	9999	None
Point_318	117.657708	39.1725	C4	9999	None
Point_319	117.715625	39.1725	C4	9999	None
Point_31	117.483958	39.5775	C4	9999	None
Point_320	117.773542	39.1725	C4	9999	None
Point_321	117.831458	39.1725	C4	9999	None
Point_325	118.294792	39.1725	C4	9999	None
Point_326	118.352708	39.1725	C4	9999	None
Point_327	118.410625	39.1725	C4	9999	None
Point_328	118.468542	39.1725	C4	9999	None
Point_329	118.526458	39.1725	C4	9999	None
Point_331	116.557292	39.1275	C4	9999	None
Point_332	116.615208	39.1275	C4	9999	None
Point_333	116.673125	39.1275	C4	9999	None
Point_334	116.731042	39.1275	C4	9999	None
Point_335	116.788958	39.1275	C4	9999	None
Point_336	116.846875	39.1275	C4	9999	None
Point_33	117.599792	39.5775	C4	9999	None
Point_337	116.904792	39.1275	C4	9999	None
Point_338	116.962708	39.1275	C4	9999	None
Point_339	117.020625	39.1275	C4	9999	None
Point_340	117.078542	39.1275	C1	2022.5	None
Point_343	117.252292	39.1275	C3	2025.5	None
Point_344	117.310208	39.1275	C3	2025.5	None
Point_345	117.368125	39.1275	C3	2025.5	None
Point_347	117.483958	39.1275	C1	2022.5	None
Point_34	117.657708	39.5775	C3	2025.5	None
Point_350	117.657708	39.1275	C3	2025.5	None
Point_351	117.715625	39.1275	C3	2025.5	None
Point_352	117.773542	39.1275	C4	9999	None
Point_353	118.178958	39.1275	C4	9999	None
Point_354	118.236875	39.1275	C4	9999	None
Point_358	118.468542	39.1275	C4	9999	None
Point_359	118.526458	39.1275	C4	9999	None
Point_360	116.557292	39.0825	C4	9999	None
Point_361	116.615208	39.0825	C4	9999	None
Point_362	116.673125	39.0825	C4	9999	None
Point_363	116.731042	39.0825	C4	9999	None
Point_364	116.788958	39.0825	C4	9999	None
Point_365	116.846875	39.0825	C4	9999	None
Point_366	116.904792	39.0825	C4	9999	None
Point_367	116.962708	39.0825	C4	9999	None
Point_368	117.020625	39.0825	C3	2025.5	None
Point_369	117.078542	39.0825	C3	2025.5	None
Point_374	117.368125	39.0825	C3	2025.5	None
Point_375	117.426042	39.0825	C4	9999	None
Point_376	117.483958	39.0825	C3	2025.5	None
Point_378	117.599792	39.0825	C3	2025.5	None
Point_382	118.236875	39.0825	C4	9999	None
Point_383	118.294792	39.0825	C4	9999	None
Point_384	118.352708	39.0825	C4	9999	None
Point_385	118.410625	39.0825	C4	9999	None
Point_386	118.468542	39.0825	C4	9999	None
Point_387	116.557292	39.0375	C4	9999	None
Point_388	116.615208	39.0375	C4	9999	None
Point_389	116.673125	39.0375	C4	9999	None
Point_390	116.731042	39.0375	C4	9999	None
Point_391	116.788958	39.0375	C4	9999	None
Point_392	116.846875	39.0375	C4	9999	None
Point_393	116.904792	39.0375	C4	9999	None
Point_395	117.020625	39.0375	C1	2022.5	None
Point_396	117.078542	39.0375	C4	9999	None
